publication_number,cosine_distance,cosine_similarity
JP-S5134201-Y1,0.0,1.0
JP-S5012866-Y1,0.0,1.0
JP-S4729444-Y1,0.0,1.0
JP-S5031876-Y1,0.0,1.0
JP-S4922491-B1,0.0,1.0
JP-S4941377-Y1,0.0,1.0
JP-S4825670-B1,0.0,1.0
JP-S4922565-Y1,0.0,1.0
JP-S4933063-Y1,0.0,1.0
JP-S4912454-B1,0.0,1.0
JP-S4912191-B1,0.0,1.0
JP-S4934119-B1,0.0,1.0
JP-S4815056-Y1,0.0,1.0
JP-S4942266-Y1,0.0,1.0
JP-S4935130-B1,0.0,1.0
JP-S5033709-Y1,0.0,1.0
JP-S51896-B1,0.0,1.0
JP-S5027058-Y1,0.0,1.0
JP-S4517924-Y1,0.0,1.0
JP-S5037584-Y1,0.0,1.0
JP-S4933375-Y1,0.0,1.0
JP-S4833423-B1,0.0,1.0
JP-S4937771-B1,0.0,1.0
JP-S499076-B1,0.0,1.0
JP-S515530-B1,0.0,1.0
JP-S5115551-Y1,0.0,1.0
JP-S4815587-B1,0.0,1.0
JP-S4925461-Y1,0.0,1.0
JP-S505278-B1,0.0,1.0
JP-S4816099-Y1,0.0,1.0
JP-S4924047-B1,0.0,1.0
JP-S4828375-B1,0.0,1.0
JP-S5611129-Y1,0.0,1.0
JP-S4910444-Y1,0.0,1.0
JP-S4930298-Y1,0.0,1.0
JP-S5011636-Y1,0.0,1.0
JP-S5125109-B1,0.0,1.0
JP-S4812323-B1,0.0,1.0
JP-S4634998-Y1,0.0,1.0
JP-S4911263-Y1,0.0,1.0
JP-S4841162-Y1,0.0,1.0
JP-S5040920-Y1,0.0,1.0
JP-S5230192-B1,0.0,1.0
JP-S4840496-Y1,0.0,1.0
JP-S506990-B1,0.0,1.0
JP-S47567-Y1,0.0,1.0
JP-S4928577-Y1,0.0,1.0
JP-S4922674-B1,0.0,1.0
JP-S539260-Y1,0.0,1.0
JP-S5018721-B1,0.0,1.0
JP-S487093-Y1,0.0,1.0
JP-S4924659-Y1,0.0,1.0
JP-S4839400-Y1,0.0,1.0
JP-S5028708-Y1,0.0,1.0
JP-S4825947-Y1,0.0,1.0
JP-S4833178-Y1,0.0,1.0
JP-S4833746-B1,0.0,1.0
